,Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError,cosineError
20,20,05/10/2023 15:32:02.117690,232,True,True,True,True,Eyes,1.172777,-0.3130819,-2.792015,-0.1535494,-0.1534172,0.9761587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.171581,1.038643,2.612515,1.15761,-0.3111165,-2.799958,0.1300366,0.004433112,0.007514122,0.9914709,14.93887,0.6371815,0.9519871,0.3848799,-0.1028721,-0.917215,0,0,0,0.8318532,-0.6705163,-0.6637794,-0.3460801,0.20824,2.153,0.9998478,0.016053,-0.006836382,-0.01374713,0.9660681,0.2579215,0.01074482,-0.2577883,0.9661417,static,-8.939355,-8.931783,-9.131794,5.524514,-8.95999313037646,4.30503568678099,14.45757779577651,1.2315205622379541,14.281218199603844
21,21,05/10/2023 15:32:02.138082,233,True,True,True,True,Eyes,1.17279,-0.3130796,-2.79202,-0.1533735,-0.1533825,0.9761917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.173092,1.037598,2.612286,1.157694,-0.3110226,-2.799965,0.1299169,0.004664705,0.007399316,0.9914863,14.9249,0.6625058,0.9419437,0.3849134,-0.1028685,-0.9172013,0,0,0,0.8329182,-0.6698431,-0.6635401,-0.34608,0.20824,2.153,0.999847,0.01588469,-0.007327389,-0.01346059,0.9661337,0.2576907,0.01117257,-0.2575527,0.9661996,static,-8.928986,-8.929502,-9.13179,5.524513,-8.949847548682667,4.307073650981934,14.45543769944864,1.2309596354588122,14.279350010191717
22,22,05/10/2023 15:32:02.151927,234,True,True,True,True,Eyes,1.172801,-0.3130707,-2.792026,-0.153154,-0.153338,0.9762332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.175336,1.037016,2.611582,1.157777,-0.3111245,-2.799988,0.1298678,0.005024578,0.007255139,0.9914921,14.91898,0.702544,0.9304842,0.384944,-0.1028652,-0.9171889,0,0,0,0.8345355,-0.6696574,-0.6632814,-0.34608,0.2082401,2.153,0.9998443,0.01569189,-0.00807924,-0.01308176,0.9661635,0.2575988,0.01184808,-0.2574529,0.9662182,static,-8.916037,-8.926574,-9.13179,5.524515,-8.937179910756807,4.30969555412943,14.452699493275642,1.2303086494455457,14.276960899385505
23,23,05/10/2023 15:32:02.171920,235,True,True,True,True,Eyes,1.172811,-0.3130621,-2.792036,-0.1529208,-0.1532613,0.9762818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.178327,1.035185,2.610971,1.157812,-0.3109582,-2.800002,0.1297016,0.005491795,0.006964049,0.9915135,14.89956,0.752809,0.9032778,0.3849717,-0.1028619,-0.9171777,0,0,0,0.8365436,-0.6686077,-0.66285,-0.34608,0.2082402,2.153,0.9998427,0.01523449,-0.009083881,-0.01238531,0.966258,0.2572783,0.01269688,-0.2571253,0.9662947,static,-8.902245,-8.921747,-9.131788,5.524517,-8.923738191900366,4.314140851081582,14.448087539413132,1.2281266809742697,14.272730755491152
24,24,05/10/2023 15:32:02.182333,236,True,True,True,True,Eyes,1.172808,-0.3130594,-2.792049,-0.1526777,-0.1531835,0.9763321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.180494,1.03222,2.611235,1.157796,-0.3109488,-2.800073,0.1293305,0.005787272,0.006559735,0.991563,14.85673,0.7809234,0.8598942,0.3849969,-0.1028586,-0.9171676,0,0,0,0.8377347,-0.6667482,-0.6624312,-0.34608,0.2082402,2.153,0.999847,0.01450572,-0.00978014,-0.01151184,0.9664612,0.2565547,0.01317364,-0.2564028,0.9664802,static,-8.887864,-8.916838,-9.131789,5.524519,-8.909718755075344,4.3186558930161,14.443416888225375,1.2261407041876395,14.268457183179116
25,25,05/10/2023 15:32:02.202037,237,True,True,True,True,Eyes,1.172805,-0.3130595,-2.792066,-0.1524336,-0.1531067,0.9763823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.182003,1.031137,2.611103,1.157746,-0.3110989,-2.800192,0.1291408,0.006052268,0.006479917,0.9915867,14.83463,0.8106422,0.8543682,0.3850193,-0.1028555,-0.9171586,0,0,0,0.8388147,-0.6660435,-0.6622389,-0.34608,0.2082401,2.153,0.9998428,0.01441399,-0.01032905,-0.01128761,0.9665614,0.256187,0.01367634,-0.2560302,0.9665721,static,-8.873433,-8.911989,-9.131789,5.524515,-8.89564829260762,4.323112076986792,14.438815587324052,1.2243902225648706,14.264254852667767
26,26,05/10/2023 15:32:02.222258,238,True,True,True,True,Eyes,1.172805,-0.3130559,-2.792081,-0.1522428,-0.153076,0.9764169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.182466,1.031303,2.61091,1.157736,-0.3111711,-2.800265,0.1290856,0.006182546,0.006654288,0.9915918,14.828,0.8285621,0.8767987,0.3850392,-0.1028526,-0.9171506,0,0,0,0.8393947,-0.6660007,-0.6622055,-0.3460799,0.2082402,2.153,0.999835,0.01479283,-0.01054318,-0.01160052,0.9665853,0.2560828,0.01397907,-0.2559182,0.9665973,static,-8.862192,-8.909919,-9.131788,5.524517,-8.884637568090481,4.324931731329249,14.436953440435833,1.2247808590947773,14.262684392750563
27,27,05/10/2023 15:32:02.233591,239,True,True,True,True,Eyes,1.172805,-0.3130441,-2.792095,-0.1520665,-0.1530203,0.976453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.182329,1.031411,2.610909,1.157737,-0.3110812,-2.800255,0.1290894,0.006176132,0.006730132,0.9915909,14.82838,0.8289724,0.8856199,0.3850569,-0.1028499,-0.9171435,0,0,0,0.8393792,-0.6659767,-0.6622087,-0.34608,0.2082401,2.153,0.9998331,0.01494162,-0.01051082,-0.01175253,0.9665813,0.2560908,0.01398597,-0.2559246,0.9665956,static,-8.851775,-8.906406,-9.131791,5.524517,-8.874481199480632,4.328160761839859,14.43363944375032,1.223714256690671,14.259653491014957
28,28,05/10/2023 15:32:02.251922,240,True,True,True,True,Eyes,1.172787,-0.313034,-2.792109,-0.1519258,-0.1529924,0.9764794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.182025,1.02932,2.611827,1.157722,-0.3108741,-2.800243,0.1287753,0.006092728,0.006621698,0.9916331,14.79226,0.8171561,0.8712572,0.3850727,-0.1028471,-0.9171371,0,0,0,0.8389775,-0.6643401,-0.6620174,-0.34608,0.2082401,2.153,0.9998381,0.01470177,-0.01037808,-0.0115634,0.9667461,0.2554764,0.01378892,-0.2553151,0.9667596,static,-8.843474,-8.904572,-9.13179,5.524516,-8.866359293807099,4.329799938997587,14.431968217384627,1.2238463654426504,14.258199449637912
29,29,05/10/2023 15:32:02.272039,241,True,True,True,True,Eyes,1.172768,-0.3130285,-2.792121,-0.1518053,-0.1529629,0.9765027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.181385,1.02687,2.613102,1.15771,-0.3108995,-2.800265,0.1285012,0.005856596,0.006149383,0.991673,14.76116,0.781908,0.8118594,0.3850862,-0.1028441,-0.9171318,0,0,0,0.8378652,-0.6628577,-0.6619551,-0.34608,0.2082402,2.153,0.9998558,0.01370151,-0.01003525,-0.01069119,0.9668993,0.2549344,0.01319606,-0.2547903,0.9669063,static,-8.836364,-8.90267,-9.13179,5.524517,-8.859412500463705,4.331524276452743,14.430211407129315,1.2236916035874181,14.256637288316693
