,Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.point.x,EyeHitInfo.point.y,EyeHitInfo.point.z,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError
24,24,05/04/2023 10:12:24.118612,230,True,True,True,True,1.298819,-0.2624804,-3.010249,-0.257067,0.07938656,0.9631273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.333597,0.5965079,2.959183,1.306643,-0.2622118,-3.019105,0.05776516,0.003869687,-0.004395318,0.9983132,6.624934,0.4163749,359.5196,0.8403737,-0.142948,-1.073397,-0.4866607,0.3365315,1.915,0.9999314,-0.00832874,-0.008234109,0.009222873,0.9932877,0.1153014,0.007218525,-0.1153694,0.9932964,moving,-14.94436,4.712,-14.25879,9.967072,-13.746410515839186,14.322871093600334,5.2996026219032695,4.385831560787349
25,25,05/04/2023 10:12:24.128765,231,True,True,True,True,1.298819,-0.2624804,-3.010249,-0.257067,0.07938656,0.9631273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.334556,0.5917709,2.959696,1.306621,-0.2624186,-3.019091,0.0568439,0.004067333,-0.00418124,0.998366,6.519195,0.4409401,359.5452,0.8436914,-0.1450135,-1.073785,-0.482981,0.3339868,1.915,0.9999319,-0.007886409,-0.00859673,0.008811222,0.9935026,0.113468,0.007646018,-0.113536,0.9935045,moving,-14.94436,4.712,-14.15532,9.8932,-13.746410515839186,14.322871093600334,5.2409367065058134,4.448504576114881
26,26,05/04/2023 10:12:24.138798,232,True,True,True,True,1.298819,-0.2624804,-3.010249,-0.257067,0.07938656,0.9631273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.335157,0.5930464,2.959254,1.306613,-0.2625125,-3.019169,0.05702701,0.004173949,-0.00414166,0.9983554,6.540241,0.4534031,359.5505,0.8481656,-0.1487485,-1.074353,-0.4783067,0.3307546,1.915,0.9999309,-0.007793642,-0.008806542,0.008745753,0.9934615,0.1138319,0.007861796,-0.113901,0.993461,moving,-14.94436,4.712,-14.02376,9.799322,-13.746410515839186,14.322871093600334,5.169946759076345,4.5320435940728405
27,27,05/04/2023 10:12:24.159066,233,True,True,True,True,1.298819,-0.2624804,-3.010249,-0.257067,0.07938656,0.9631273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.33532,0.5968055,2.958527,1.306548,-0.2625532,-3.019295,0.05764725,0.004211298,-0.004131295,0.9983196,6.611444,0.4575249,359.5522,0.8514364,-0.1508678,-1.074644,-0.4749251,0.3284161,1.915,0.9999303,-0.007763165,-0.008884759,0.008734243,0.9933195,0.115066,0.007932128,-0.1151355,0.9933181,moving,-14.94436,4.712,-13.92849,9.731369,-13.746410515839186,14.322871093600334,5.121138253851482,4.595110925112528
28,28,05/04/2023 10:12:24.178752,234,True,True,True,True,1.298819,-0.2624804,-3.010249,-0.257067,0.07938656,0.9631273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.336079,0.5965684,2.958229,1.306596,-0.2624538,-3.019279,0.05766121,0.004319531,-0.004206989,0.9983181,6.613129,0.4694805,359.5442,0.8550289,-0.152765,-1.075059,-0.4714081,0.3259841,1.915,0.9999272,-0.007901687,-0.009109691,0.008897966,0.993315,0.1150921,0.00813937,-0.1151648,0.9933131,moving,-14.94436,4.712,-13.82931,9.660668,-13.746410515839186,14.322871093600334,5.072736093739157,4.662940060782538
29,29,05/04/2023 10:12:24.189242,235,True,True,True,True,1.298819,-0.2624804,-3.010249,-0.257067,0.07938656,0.9631273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.337254,0.5961238,2.957801,1.306587,-0.2623681,-3.019303,0.05772422,0.004479406,-0.004474987,0.9983126,6.620565,0.4860825,359.5145,0.8590295,-0.1549757,-1.075297,-0.467553,0.3233182,1.915,0.9999198,-0.00841773,-0.009460324,0.009452011,0.9932958,0.1152135,0.008427065,-0.1152937,0.9932957,moving,-14.94436,4.712,-13.72051,9.583136,-13.746410515839186,14.322871093600334,5.022526729943405,4.739805860394211
30,30,05/04/2023 10:12:24.209167,236,True,True,True,True,1.298819,-0.2624804,-3.010249,-0.257067,0.07938656,0.9631273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.338104,0.5942987,2.957745,1.306533,-0.2625061,-3.019277,0.05741526,0.004626336,-0.004512517,0.9983295,6.585194,0.5028884,359.511,0.8626681,-0.158245,-1.075756,-0.4636246,0.3206016,1.915,0.9999164,-0.008478713,-0.00975539,0.009541202,0.9933662,0.1145969,0.00871904,-0.1146804,0.9933642,moving,-14.94436,4.712,-13.60954,9.504091,-13.746410515839186,14.322871093600334,4.974523151487086,4.8207235067554866
31,31,05/04/2023 10:12:24.228527,237,True,True,True,True,1.299435,-0.2625042,-3.010233,-0.2550741,0.07726242,0.9638297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.338185,0.5950422,2.957578,1.306469,-0.2626241,-3.019313,0.05749348,0.004658953,-0.00445086,0.9983252,6.594156,0.5070198,359.5183,0.8662764,-0.1610284,-1.076059,-0.4598042,0.3179598,1.915,0.999917,-0.008351091,-0.00981409,0.009422529,0.9933494,0.1147529,0.008790508,-0.1148358,0.9933456,moving,-14.8233,4.583139,-13.50151,9.427189,-13.633945152861394,14.197919464205947,5.02115018761638,4.7725683056207915
32,32,05/04/2023 10:12:24.238848,238,True,True,True,True,1.300027,-0.2625267,-3.010217,-0.2531606,0.07522611,0.9644951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.338081,0.5961095,2.957382,1.306445,-0.2625503,-3.019302,0.05768576,0.004644738,-0.004451689,0.9983143,6.61622,0.5052949,359.5182,0.8700602,-0.1643505,-1.076544,-0.455809,0.3151971,1.915,0.9999172,-0.008352498,-0.009787412,0.009424238,0.9933051,0.1151357,0.008760216,-0.1152184,0.9933015,moving,-14.70723,4.459774,-13.38844,9.346728,-13.526114223855188,14.07829574011476,5.061771079594178,4.733570266850257
33,33,05/04/2023 10:12:24.258486,239,True,True,True,True,1.300433,-0.2625464,-3.010206,-0.2511566,0.07322136,0.9651731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.337942,0.5958561,2.957516,1.306473,-0.2625461,-3.01931,0.05763505,0.004619455,-0.004434095,0.9983173,6.610377,0.502522,359.5201,0.8737482,-0.1676576,-1.077014,-0.4517292,0.3123759,1.915,0.999918,-0.00832078,-0.009734482,0.009385749,0.9933171,0.1150351,0.008712244,-0.1151171,0.9933137,moving,-14.58598,4.338346,-13.27286,9.264524,-13.413418465834312,13.960495408820435,5.09818730747351,4.6980745156688055
34,34,05/04/2023 10:12:24.278774,240,True,True,True,True,1.300821,-0.2625677,-3.010195,-0.2492271,0.07131025,0.9658161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.338192,0.5947009,2.957619,1.306471,-0.2624314,-3.019304,0.05752038,0.004643051,-0.004568641,0.9983231,6.597296,0.5043952,359.5047,0.8769141,-0.1665227,-1.077357,-0.4482157,0.3099464,1.915,0.9999151,-0.00858782,-0.009796111,0.009656101,0.993341,0.1148054,0.00874495,-0.1148903,0.9933397,moving,-14.46942,4.222725,-13.17324,9.193704,-13.30507399181246,13.848319908092916,5.137189388259012,4.656482519377567
