taskname,hololens,euclideanError,recalibratedEuclideanError,cosineError
ssHeadConstrained,A,9.65050307201242,2.4058950625730713,9.485221061705012
ssHeadConstrained,A,10.404972176072386,3.7129936770831224,10.214375336773186
ssHeadConstrained,A,15.486074809608034,3.0115451888406928,15.21110073102382
ssHeadConstrained,A,3.488346608962411,4.670020145746372,3.4258149955970616
ssHeadConstrained,A,6.521311099604666,1.819346673283028,6.412991067156794
ssHeadConstrained,A,3.9770166926757153,2.217910315986425,3.9145337939709623
ssHeadConstrained,A,3.771858595333493,1.4605732538314775,3.715165682029081
ssHeadConstrained,A,5.193623135851163,3.1776487629447647,5.098127307548612
ssHeadConstrained,A,4.304824236969864,4.936368968777903,4.273663580750969
ssHeadConstrained,A,10.0567556853495,1.5308189764976556,9.863235387412518
ssHeadConstrained,A,7.585351367949862,2.837603619268207,7.44374607078066
ssHeadConstrained,A,6.0709899516223125,3.0857834267811812,5.9844464776939335
ssHeadConstrained,A,7.639370949669997,2.631314015877052,7.494402919012455
ssHeadConstrained,A,8.20242057532969,2.092448333651822,8.0590758750171
ssHeadConstrained,A,7.621104911402329,2.338395946211006,7.490449788215153
ssHeadConstrained,A,1.5720192016430847,1.8290916437779994,1.5538487217277788
ssHeadConstrained,A,1.9292619112746148,3.6758671103092,1.9144595074420243
ssHeadConstrained,A,9.419325355185222,3.262470360338266,9.270522821370434
ssHeadConstrained,A,8.315188400668058,1.748121506679392,8.189220013894275
ssHeadConstrained,A,6.494922571256043,1.2699705670065695,6.384551946536505
ssHeadConstrained,A,3.9513521140436394,2.6679830272489533,3.8931971545394473
ssHeadConstrained,A,4.329828137938738,3.7493796284674867,4.279152469360799
ssHeadConstrained,A,8.394071736169243,4.367355053247512,8.283034631045728
ssHeadConstrained,A,4.9714711731397365,3.7257182379164644,4.94156202159776
ssHeadConstrained,A,3.8038321048166814,5.2829637550951905,3.7762686869252557
ssHeadConstrained,A,13.561438555480159,4.267119443299911,13.319897492988162
ssHeadConstrained,A,8.683130618241687,3.1712929330242523,8.540820783591766
ssHeadConstrained,A,3.535921140645464,3.322209751028706,3.507914983180106
ssHeadConstrained,A,2.2707738394422625,3.255607869730091,2.255398857672074
ssHeadConstrained,A,3.864252708062706,4.294288981545838,3.8377204072142765
ssHeadConstrained,A,4.045950171671997,2.375407910115291,3.9862440364236296
ssHeadConstrained,A,5.112767885250042,2.1488025342195587,5.023481904014897
ssHeadConstrained,A,7.708129081559766,9.80675666720992,7.58200271169314
ssHeadConstrained,A,4.5606783874699,3.787731437141722,4.505657524177218
ssHeadConstrained,A,2.9684032616735507,2.0551994952341746,2.9250164350911163
ssHeadConstrained,A,14.51440157228807,3.5970080911544713,14.228672604243455
ssHeadConstrained,A,14.673260335170246,4.00914837039453,14.410005513911852
ssHeadConstrained,A,3.841905691970989,1.93135742907865,3.773749051789019
ssHeadConstrained,A,4.1981061525599035,1.1407209207212985,4.119393180016664
ssHeadConstrained,A,13.984842808893914,2.282498086269866,13.738405682450935
