taskname,hololens,euclideanError,recalibratedEuclideanError,cosineError
calibration,A,4.329154582188816,15.449900529991735,4.240629781029337
calibration,A,9.720476960383017,15.025896769545097,9.544752246599103
calibration,A,3.4655580902588294,15.161351866200894,3.3853324514769088
calibration,A,1.682718053693862,15.662022599241496,1.6596420815075563
calibration,A,22.684041854248605,16.537904432384966,21.71803716352249
calibration,A,15.663811435548679,16.035676730625173,15.273358564624775
calibration,A,2.136549810878242,15.135642326458568,2.0827247873273773
calibration,A,4.754538501568903,13.78125740969971,4.645583710181578
calibration,A,15.790041828179861,16.05961931550873,15.384203123028605
calibration,A,16.32157001678261,16.089789414643615,15.89864804670068
calibration,A,1.0030093659968617,16.976988711175512,0.9861248474256767
calibration,A,6.92373852596362,17.05182088008248,6.822953995591346
calibration,B,7.1502460466402695,15.876356271904244,6.965941224375569
calibration,B,4.887436582904867,15.86843931173838,4.775177995004336
calibration,B,13.069982692700348,13.809421785622119,12.691158677241233
calibration,B,14.610362618012866,14.142795047813596,14.218264688282568
calibration,B,2.0866454802271774,18.94106723416563,2.0421002168799207
calibration,B,7.923203081190067,19.072855474431407,7.734614374630043
calibration,B,13.044310728113068,15.1422037091095,12.744002553701247
calibration,B,13.935105204489094,15.886123157878039,13.582494126898009
calibration,B,12.576321697446412,14.26759265384975,12.254070809108558
calibration,B,14.107364369985355,13.583868602483838,13.787950084480615
calibration,B,6.924408522252813,17.584251247437273,6.752077221085067
calibration,B,5.358506220084713,17.41833888854294,5.247928032379115
calibration,B,4.190824439466848,13.564191656425194,4.100056889508453
calibration,B,7.752296753481347,13.50614999709959,7.583158466872727
calibration,B,8.8593667467041,13.606360752526045,8.661778924385334
calibration,B,9.316657515094148,14.039546388818287,9.09590511880547
calibration,B,8.476217083454037,19.342536654410466,8.323903297899717
calibration,B,9.513846014853513,21.116728915307313,9.270273099218764
calibration,B,6.690758932938728,17.630947387172085,6.5300949594798015
calibration,B,5.211296150852215,15.817121126858593,5.099511919983834
calibration,B,11.20974843543237,14.865727582492065,10.896553144529099
calibration,B,9.482597492210916,15.32941290474348,9.227070612330728
calibration,B,3.061029999564498,17.321315879367834,2.9903206423073563
calibration,B,2.868478881970799,17.370120481999887,2.8274432693564697
calibration,B,11.517561051158458,15.590413835090143,11.181317969902489
calibration,B,17.335837156463267,16.404622164728973,16.82119837516958
calibration,B,8.025950461763516,14.629577137210203,7.91584390392968
calibration,B,4.054657050559158,16.81944349054065,3.9719502759976146
calibration,B,7.358569633293291,15.762483657553197,7.167165035255287
calibration,B,8.909671942523788,15.770530362619377,8.673825286375523
calibration,B,22.89399974734768,16.347812169303378,22.34607049539229
calibration,B,22.974303061877,18.86672437773016,22.27853885971857
calibration,B,4.488962088995188,14.628170116022115,4.393259224591589
calibration,B,11.303717993158873,13.93708566079597,11.067286659327847
calibration,B,24.86220166863082,17.05389649119362,24.120433508886574
calibration,B,18.89007273968811,16.369693508382024,18.405509793549474
calibration,B,9.212187334259925,16.71570502182338,8.973161324922978
calibration,B,8.21332599466068,17.55699943026369,8.019108523689885
calibration,B,6.88485846588798,15.502029113139184,6.732662453486409
calibration,B,7.845911581834902,15.08348079296755,7.6557350505071735
calibration,B,4.926678782412536,17.599108546117726,4.801713546530193
calibration,B,4.219692849214707,17.66563268989486,4.121147962851256
calibration,B,7.0724889191409215,15.059818229464145,6.907354197415603
calibration,B,6.471428857914774,16.233291349333403,6.317652077871405
calibration,B,4.233185259871864,17.27225758053768,4.139438643977776
calibration,B,12.775407682811291,17.341832136568947,12.55509091697326
ssHeadConstrained,A,11.82260662873523,13.421813810477301,11.571138688339328
ssHeadConstrained,A,5.6858374504165115,13.285581052259715,5.63710546405081
ssHeadConstrained,A,8.72414453668437,13.774048226424677,8.536535274549603
ssHeadConstrained,A,9.527584254015123,13.803041042837188,9.331864120031664
ssHeadConstrained,A,10.359862158006255,13.156154198499939,10.133089051878992
ssHeadConstrained,A,15.414084185608429,13.160537606659691,15.086989341792902
ssHeadConstrained,A,3.5228989067596155,18.931359700364304,3.445401816604254
ssHeadConstrained,A,6.520080397734692,18.972049354678582,6.3892098661480565
ssHeadConstrained,A,3.673341330274581,12.564562181098559,3.606554441050856
ssHeadConstrained,A,3.9774973283020025,12.558474397451802,3.902944852189482
ssHeadConstrained,A,5.169504107696744,12.972519433175764,5.0550676156084045
ssHeadConstrained,A,4.163990387318883,12.98781810016152,4.125526067518854
ssHeadConstrained,A,10.017307202557376,12.36337078256971,9.78594891826259
ssHeadConstrained,A,7.683828270119759,12.36836351026781,7.509591587162482
ssHeadConstrained,A,6.048649220331193,15.819392075484531,5.948321816714486
ssHeadConstrained,A,7.61282833266192,15.726915417661797,7.438667270605504
ssHeadConstrained,A,8.114835568575268,13.124801345180398,7.9494311271063385
ssHeadConstrained,A,7.522879775679965,13.146621013543829,7.374837174209164
ssHeadConstrained,A,1.9472658098597597,13.331048885450318,1.9272481846227554
ssHeadConstrained,A,1.5928472427956035,13.345979801329893,1.5690799094633854
ssHeadConstrained,A,8.303718405189844,12.201706927631207,8.148913603839786
ssHeadConstrained,A,9.411986259001374,12.220012434971128,9.232877545733135
ssHeadConstrained,A,6.4555378230966,12.583402069084501,6.322811744491883
ssHeadConstrained,A,3.931246456561429,12.587975100255061,3.860496734641757
ssHeadConstrained,A,4.335528533015219,13.662154986506858,4.27647005083937
ssHeadConstrained,A,8.372824620374807,13.687738858068329,8.245159044331858
ssHeadConstrained,A,3.776317639832318,15.171760708866227,3.7423660548711797
ssHeadConstrained,A,4.978983023527829,15.19164185791485,4.940517440769253
ssHeadConstrained,A,13.466645586396597,13.048822325237026,13.178677644788161
ssHeadConstrained,A,8.635601841833672,13.034401188856787,8.464949312511038
ssHeadConstrained,A,3.562993640198796,13.175315629021192,3.527325376991265
ssHeadConstrained,A,2.2757913418496183,13.160959210132654,2.2561088376340397
ssHeadConstrained,A,4.06513903672505,22.59800419701334,3.9926273949520463
ssHeadConstrained,A,3.8637608052610406,22.661850459725112,3.8301252639949204
ssHeadConstrained,A,5.045667329512296,12.822630627513057,4.940569233318268
ssHeadConstrained,A,7.640096060164867,12.854703877299062,7.487292392735551
ssHeadConstrained,A,2.933136348439738,14.014519536378215,2.8786833639529994
ssHeadConstrained,A,4.527727250660719,14.05337637298446,4.459486323350126
ssHeadConstrained,A,14.49153000931816,14.64337090239047,14.157958184853403
