,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError,cosineError
20,05/16/2023 16:03:52.156207,247,True,True,True,True,Eyes,1.492932,0.06459202,-1.77929,0.9685541,-0.002385869,0.2487914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.810687,-0.1724563,-1.62175,1.626077,0.07016677,-1.813656,0.056215,0.707626,-0.02409048,0.7039355,6.50198,90.44918,2.632956,0.6263144,0.02901237,-0.7790302,0.2190271,-0.01069126,0.01674321,2.896164,0.3764697,-0.9837176,-0.5021795,0.3472628,1.915001,-0.002629695,0.0456421,-0.9989545,0.1134747,0.9925191,0.04504936,0.9935375,-0.1132376,-0.007789218,moving,75.59396,-0.5494404,-14.69408,10.27822,72.8423809335915,4.490558208888091,90.93496795391378,87.72758415564905,90.30731452316134
21,05/16/2023 16:03:52.166636,248,True,True,True,True,Eyes,1.499508,0.06488843,-1.780908,0.9692337,-0.003065356,0.2461231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.809768,-0.1734436,-1.637727,1.637485,0.07138595,-1.816876,0.05695417,0.7085253,-0.02377195,0.7029817,6.532196,90.60575,2.727932,0.6279473,0.0288916,-0.777719,0.2058854,-0.01004979,0.01573861,2.917796,0.3612578,-0.9957522,-0.4984637,0.3446934,1.915,-0.005146218,0.04728446,-0.9988682,0.1141294,0.9923822,0.04638942,0.9934526,-0.1137615,-0.01050351,moving,75.75172,-0.7135571,-14.59001,10.20378,72.9847387731917,4.332379545550573,90.99899136115707,87.77135048513351,90.36679816500536
22,05/16/2023 16:03:52.186596,249,True,True,True,True,Eyes,1.506264,0.06520405,-1.782592,0.9698935,-0.003642817,0.2435024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.809889,-0.1656218,-1.653617,1.649178,0.07263033,-1.820031,0.05579588,0.7092343,-0.02156802,0.7024304,6.256463,90.70627,2.816494,0.629548,0.02878907,-0.7764276,0.1935323,-0.009446801,0.0147943,2.936254,0.357397,-1.006863,-0.4946334,0.3420446,1.915,-0.006956899,0.04884465,-0.9987823,0.1094448,0.9928433,0.04779188,0.9939687,-0.108979,-0.01225299,moving,75.90656,-0.857086,-14.48263,10.127,73.1256876607785,4.193924381200604,91.05413672157623,87.80898991362027,90.41906259977301
23,05/16/2023 16:03:52.206452,250,True,True,True,True,Eyes,1.513184,0.06550591,-1.784351,0.9705577,-0.004286948,0.2408308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8105,-0.1660484,-1.667538,1.660239,0.07339199,-1.82329,0.05492495,0.7097955,-0.02120419,0.7019432,6.15449,90.7868,2.778909,0.6311219,0.02870354,-0.775152,0.1819204,-0.008879992,0.01390664,2.954482,0.3338646,-1.013085,-0.4908091,0.3393998,1.915,-0.008518271,0.04820268,-0.9988014,0.1077392,0.9930673,0.04700711,0.9941428,-0.1072097,-0.01365251,moving,76.06429,-1.019795,-14.37532,10.0503,73.26811458425273,4.0370931201800735,91.11459850244155,87.84947514187948,90.47482509196688
24,05/16/2023 16:03:52.216366,251,True,True,True,True,Eyes,1.520254,0.06580792,-1.786163,0.9712163,-0.0051253,0.2381444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.809813,-0.1712003,-1.682056,1.671116,0.07337994,-1.826481,0.05435165,0.7105654,-0.02195963,0.701185,6.167109,90.90566,2.677583,0.6326734,0.0286325,-0.7738889,0.1710052,-0.008347193,0.01307224,2.972682,0.3069589,-1.018704,-0.4869117,0.3367049,1.915,-0.01077092,0.04644528,-0.9988628,0.1080363,0.9931273,0.04501361,0.9940887,-0.1074286,-0.01571463,moving,76.22277,-1.232919,-14.26584,9.972104,73.40775104123782,3.832008640601207,91.17971857909318,87.88833447670245,90.53099203989811
25,05/16/2023 16:03:52.236520,252,True,True,True,True,Eyes,1.527457,0.06616646,-1.788047,0.9719077,-0.006380966,0.235276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.807914,-0.1853243,-1.696514,1.68176,0.07373242,-1.829563,0.05594546,0.711491,-0.02451857,0.7000354,6.5008,91.07835,2.612141,0.6342064,0.02857433,-0.7726353,0.1607448,-0.007846361,0.01228791,2.989412,0.2997618,-1.02631,-0.482998,0.3339987,1.915,-0.0136412,0.04528164,-0.9988812,0.1139371,0.9925379,0.04343812,0.9933944,-0.1132171,-0.01869871,moving,76.39183,-1.55355,-14.1558,9.893543,73.55019350127318,3.523963472551076,91.2683364413286,87.93698220545137,90.60091634610444
26,05/16/2023 16:03:52.256493,253,True,True,True,True,Eyes,1.534807,0.06660155,-1.789984,0.9726031,-0.007599604,0.2323477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.804999,-0.2028459,-1.711413,1.692197,0.07552546,-1.832721,0.05799034,0.7126117,-0.02744577,0.6986191,6.900336,91.29037,2.557623,0.6357235,0.0285299,-0.7713892,0.1511002,-0.007375579,0.01155063,3.005091,0.3039275,-1.035606,-0.4789863,0.3312244,1.915,-0.0171372,0.04430088,-0.9988713,0.1209974,0.9917676,0.04190996,0.992505,-0.1201427,-0.02235634,moving,76.56428,-1.873357,-14.0429,9.812972,73.6959989058502,3.216682892651703,91.35771096655522,87.98650698373429,90.67084214160008
27,05/16/2023 16:03:52.276567,254,True,True,True,True,Eyes,1.54229,0.06706728,-1.791956,0.9733589,-0.008719429,0.2291209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.800313,-0.2105077,-1.729589,1.703082,0.07780237,-1.83586,0.05772185,0.7141437,-0.0281544,0.697047,6.931478,91.53928,2.493814,0.6372285,0.02850089,-0.7701475,0.1420341,-0.006933045,0.01085759,3.020978,0.3038794,-1.045079,-0.4752782,0.3286603,1.915001,-0.02158749,0.0431935,-0.9988334,0.1216932,0.991751,0.0402571,0.9923329,-0.1206822,-0.0266658,moving,76.75417,-2.179397,-13.93843,9.738461,73.85977069488139,2.9224541091830787,91.47230747099455,88.0623755936344,90.76524948091715
28,05/16/2023 16:03:52.286515,255,True,True,True,True,Eyes,1.549887,0.06756014,-1.793979,0.9741331,-0.009870075,0.2257595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.793874,-0.2151019,-1.749472,1.71374,0.07903234,-1.838955,0.05616724,0.7159929,-0.02840402,0.6952646,6.821486,91.82381,2.36274,0.6387233,0.02848685,-0.7689086,0.1335121,-0.006517062,0.01020614,3.036923,0.2926148,-1.053288,-0.4714027,0.3259806,1.915,-0.02690496,0.04093405,-0.9987997,0.1199273,0.9920769,0.03742803,0.9924181,-0.1187763,-0.03160081,moving,76.95181,-2.503344,-13.82916,9.660563,74.02984814434916,2.611033208928569,91.5922766812003,88.14137043627139,90.86271050665752
29,05/16/2023 16:03:52.306638,256,True,True,True,True,Eyes,1.557588,0.06807873,-1.796037,0.9749634,-0.01108124,0.2220891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.784857,-0.2268535,-1.770625,1.724079,0.08019489,-1.842121,0.05614575,0.7182613,-0.03010219,0.6928507,6.952344,92.19987,2.248317,0.6402102,0.02848721,-0.7676712,0.1255014,-0.006126038,0.00959377,3.053126,0.2724963,-1.061088,-0.4675168,0.3232933,1.915001,-0.03361114,0.038942,-0.998676,0.1223673,0.991883,0.03455877,0.9919156,-0.1210437,-0.03810352,moving,77.16743,-2.856432,-13.71949,9.582405,74.21542115590805,2.2715966842933115,91.73416426282506,88.23829394444596,90.9779358048253
