,Unnamed: 0,Unnamed: 0.1,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError,cosineError
20,20,321,05/04/2023 16:30:14.802994,522,True,True,True,True,Eyes,1.355044,-0.2907827,-3.028512,0.3149358,-0.1260354,0.9407075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.512678,-0.06091234,2.982219,1.368297,-0.289596,-3.037998,-0.05616449,0.02378322,-0.004071691,0.99813,353.5737,2.764904,359.3773,0.4068242,-0.08728779,-0.9093263,0,0,0,2.032871,-0.5432518,-1.113297,0.5745998,-0.4608002,1.915001,0.9988355,-0.0107997,-0.04702013,0.005456607,0.993658,-0.1123126,0.04793487,0.1119252,0.9925599,static,18.50983,-7.631009,16.70197,-13.52967,16.370053662250676,-2.7581820912519444,6.169486151416583,10.776600587549419,6.007508188953126
21,21,322,05/04/2023 16:30:14.832294,523,True,True,True,True,Eyes,1.355122,-0.29079,-3.028519,0.3152195,-0.1264544,0.9405562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.513219,-0.06195012,2.981961,1.368386,-0.2895669,-3.037998,-0.05628703,0.02385595,-0.004168083,0.9981209,353.5599,2.774019,359.3654,0.406827,-0.08728977,-0.9093248,0,0,0,2.033289,-0.5427648,-1.113391,0.5746002,-0.4608002,1.915001,0.998827,-0.01100606,-0.04715302,0.005634942,0.9936288,-0.1125614,0.04809145,0.1121637,0.9925253,static,18.52814,-7.657292,16.70198,-13.52967,16.387469438732218,-2.7796109152143105,6.1497710299233095,10.754658861141637,5.989756469292415
22,22,323,05/04/2023 16:30:14.842808,524,True,True,True,True,Eyes,1.355221,-0.2907937,-3.028528,0.3154793,-0.1267485,0.9404295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.513611,-0.06204802,2.981792,1.368359,-0.2895963,-3.038039,-0.05625214,0.0239215,-0.004286988,0.9981208,353.5643,2.782304,359.3514,0.4068314,-0.08729167,-0.9093227,0,0,0,2.033942,-0.5423895,-1.113585,0.5746,-0.4608002,1.915001,0.9988188,-0.01124913,-0.04727078,0.005866592,0.9936346,-0.112498,0.04823539,0.1120878,0.9925269,static,18.5447,-7.675911,16.70198,-13.52967,16.40286355569991,-2.794750070820589,6.136946425420462,10.739086391921056,5.978462731037035
23,23,324,05/04/2023 16:30:14.852649,525,True,True,True,True,Eyes,1.355316,-0.2907961,-3.028536,0.3157328,-0.1270233,0.9403073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.513952,-0.06296423,2.981643,1.36838,-0.2895233,-3.038079,-0.05634433,0.02397184,-0.00438722,0.9981141,353.554,2.78884,359.3392,0.4068378,-0.08729337,-0.9093196,0,0,0,2.034486,-0.5426779,-1.113777,0.5746002,-0.4608002,1.915001,0.9988122,-0.01145925,-0.04735886,0.006056537,0.9936121,-0.1126865,0.04834764,0.1122658,0.9925013,static,18.56083,-7.693344,16.70198,-13.52967,16.417809247609515,-2.808917727484869,6.125195874482382,10.724517812244638,5.968168528430058
24,24,325,05/04/2023 16:30:14.852649,526,True,True,True,True,Eyes,1.355406,-0.2908003,-3.028544,0.3159751,-0.1272888,0.94019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.514116,-0.06340858,2.981569,1.368373,-0.2894708,-3.038105,-0.05638323,0.02399855,-0.004442014,0.9981109,353.5498,2.79231,359.3326,0.4068458,-0.08729485,-0.9093159,0,0,0,2.034619,-0.5429808,-1.113872,0.5746001,-0.4608002,1.915001,0.9988087,-0.01157348,-0.04740552,0.006161014,0.9936023,-0.1127666,0.04840735,0.1123402,0.99249,static,18.57625,-7.710183,16.70198,-13.52967,16.432109086284747,-2.822604483009564,6.113862688682909,10.710466016714454,5.958240721803373
25,25,326,05/04/2023 16:30:14.873083,527,True,True,True,True,Eyes,1.355491,-0.2908046,-3.028553,0.3162108,-0.1275419,0.9400765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.514118,-0.06324056,2.981529,1.368349,-0.2895415,-3.038068,-0.05641042,0.02400645,-0.004352897,0.9981096,353.5464,2.792669,359.3428,0.4068552,-0.08729618,-0.9093116,0,0,0,2.035054,-0.5423871,-1.113999,0.5746,-0.4608002,1.915001,0.9988095,-0.01139776,-0.04743104,0.005980907,0.9935979,-0.1128165,0.04841324,0.1123986,0.9924831,static,18.59125,-7.726251,16.70198,-13.52967,16.445997783599225,-2.8356612917174164,6.103196967365627,10.697071989471565,5.948922746480242
26,26,327,05/04/2023 16:30:14.892995,528,True,True,True,True,Eyes,1.355572,-0.2908071,-3.028562,0.3164298,-0.1277915,0.9399689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.514304,-0.06386882,2.981429,1.368328,-0.2895501,-3.038084,-0.05651751,0.02404141,-0.004350307,0.9981027,353.5341,2.796783,359.3425,0.4068656,-0.0872974,-0.9093068,0,0,0,2.03429,-0.541261,-1.113727,0.5746003,-0.4608002,1.915001,0.9988062,-0.01140163,-0.04749985,0.005966587,0.9935737,-0.1130297,0.04848333,0.1126114,0.9924555,static,18.60522,-7.742064,16.70199,-13.52967,16.458991595592856,-2.848519962206094,6.092509141900075,10.683913812569305,5.939532410600455
27,27,328,05/04/2023 16:30:14.902788,529,True,True,True,True,Eyes,1.355686,-0.2908113,-3.028571,0.316589,-0.1281544,0.9398659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.513872,-0.06335714,2.981663,1.368339,-0.2895098,-3.038086,-0.05642498,0.02396691,-0.004349327,0.9981098,353.5447,2.788105,359.3434,0.4068769,-0.08729847,-0.9093016,0,0,0,2.034014,-0.5411049,-1.113512,0.5746,-0.4608002,1.915001,0.9988133,-0.01138687,-0.04735238,0.005977547,0.9935946,-0.1128451,0.04833402,0.1124282,0.9924836,static,18.61584,-7.764616,16.70198,-13.52967,16.469599484877186,-2.866965189705059,6.074430650070505,10.665236733204546,5.922937776119738
28,28,329,05/04/2023 16:30:14.932936,530,True,True,True,True,Eyes,1.355796,-0.2908134,-3.028577,0.3167404,-0.1285074,0.9397666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.513765,-0.06308764,2.981712,1.368323,-0.2895491,-3.038079,-0.05640852,0.0239531,-0.004303503,0.9981113,353.5464,2.786201,359.3488,0.4068899,-0.08729941,-0.9092958,0,0,0,2.033506,-0.5409738,-1.113307,0.5746001,-0.4608002,1.915001,0.9988155,-0.01129307,-0.04733019,0.005888432,0.9935991,-0.1128101,0.04830121,0.1123978,0.9924887,static,18.62596,-7.78656,16.70198,-13.52967,16.479739398937852,-2.884915583814979,6.056815294566939,10.647074126991459,5.906769650138764
29,29,330,05/04/2023 16:30:14.942414,531,True,True,True,True,Eyes,1.355887,-0.290814,-3.028583,0.3169525,-0.128978,0.9396307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.513601,-0.06254396,2.981729,1.368325,-0.2895014,-3.038007,-0.05633132,0.02392714,-0.004261898,0.9981163,353.5552,2.782869,359.354,0.4069043,-0.0873002,-0.9092893,0,0,0,2.032765,-0.5403303,-1.112967,0.5746,-0.4608002,1.915002,0.9988186,-0.01120343,-0.04728399,0.005812044,0.9936172,-0.1126544,0.0482443,0.1122465,0.9925085,static,18.64008,-7.815838,16.70198,-13.52967,16.49379433104339,-2.908858179392614,6.033581667154593,10.622852018244089,5.885481152007353
30,30,331,05/04/2023 16:30:14.962551,532,True,True,True,True,Eyes,1.355974,-0.290813,-3.028591,0.3171546,-0.1294265,0.9395008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.513202,-0.06223968,2.981938,1.368286,-0.289457,-3.038029,-0.05631096,0.02386959,-0.004180127,0.9981192,353.5573,2.775691,359.3638,0.4069194,-0.0873008,-0.9092824,0,0,0,2.032048,-0.5397868,-1.112685,0.5746001,-0.4608002,1.915001,0.9988255,-0.01103277,-0.04717863,0.005656291,0.9936232,-0.1126097,0.04812018,0.1122105,0.9925186,static,18.65354,-7.84375,16.70198,-13.52968,16.50719247913829,-2.9316837185415743,6.011521138488995,10.599786194074392,5.865271513374916
